Format Version,1.23,Take Name,BeigeRubber_240610_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 10.55.03.015 AM,Capture Start Frame,442731,Total Frames in Take,2249,Total Exported Frames,2249,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1261,Unlabeled 1261,Unlabeled 1261,Unlabeled 1262,Unlabeled 1262,Unlabeled 1262,Unlabeled 1263,Unlabeled 1263,Unlabeled 1263,Unlabeled 1264,Unlabeled 1264,Unlabeled 1264,Unlabeled 1265,Unlabeled 1265,Unlabeled 1265,Unlabeled 1266,Unlabeled 1266,Unlabeled 1266,Unlabeled 1267,Unlabeled 1267,Unlabeled 1267,Unlabeled 1269,Unlabeled 1269,Unlabeled 1269,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270,Unlabeled 1271,Unlabeled 1271,Unlabeled 1271,Unlabeled 1273,Unlabeled 1273,Unlabeled 1273,Unlabeled 1274,Unlabeled 1274,Unlabeled 1274,Unlabeled 1276,Unlabeled 1276,Unlabeled 1276
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C9070","C9070","C9070","C90B0","C90B0","C90B0","C90A0","C90A0","C90A0","C9090","C9090","C9090","C90D0","C90D0","C90D0","C90E0","C90E0","C90E0","C90C0","C90C0","C90C0","C90F0","C90F0","C90F0","C9110","C9110","C9110","C9120","C9120","C9120","C9140","C9140","C9140","C9160","C9160","C9160","C9130","C9130","C9130","C8FF0","C8FF0","C8FF0","C9180","C9180","C9180","C91A0","C91A0","C91A0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-54.947186,19.651339,79.365944,-0.831317,0.110624,-0.828214,0.000669,-0.050755,-0.056242,-0.037863,0.664921,0.042138,0.044624,0.027206,0.586777,0.008617,0.011618,0.010657,0.819546,-0.801623,0.033124,-0.808091,-0.855403,0.171461,-0.847595,-0.837186,0.127023,-0.828923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-54.997257,19.700684,79.415741,-0.831335,0.110618,-0.828220,0.000672,-0.050755,-0.056242,-0.037863,0.664921,0.042138,0.044624,0.027206,0.586777,0.008617,0.011618,0.010657,0.819546,-0.801631,0.033124,-0.808088,-0.855425,0.171456,-0.847609,-0.837201,0.127014,-0.828931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-54.997993,19.707371,79.411858,-0.831382,0.110597,-0.828233,0.000668,-0.050755,-0.056242,-0.037863,0.661671,0.042138,0.044624,0.027206,0.589667,0.008617,0.011618,0.010657,0.824890,-0.801700,0.033088,-0.808098,-0.855476,0.171422,-0.847621,-0.837230,0.127017,-0.828947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-55.097538,19.792419,79.510078,-0.831377,0.110615,-0.828241,0.000668,-0.050755,-0.056242,-0.037863,0.662761,0.042138,0.044624,0.027206,0.595095,0.008617,0.011618,0.010657,0.829354,-0.801673,0.033124,-0.808086,-0.855513,0.171409,-0.847644,-0.837201,0.127051,-0.828960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-54.966808,19.629463,79.373100,-0.831424,0.110583,-0.828258,0.000669,-0.050755,-0.056242,-0.037863,0.662761,0.042138,0.044624,0.027206,0.595095,0.008617,0.011618,0.010657,0.829354,-0.801706,0.033098,-0.808110,-0.855543,0.171390,-0.847663,-0.837279,0.126999,-0.828968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-55.040092,19.671221,79.458138,-0.831427,0.110587,-0.828267,0.000666,-0.050755,-0.056242,-0.037863,0.664174,0.042138,0.044624,0.027206,0.591109,0.008617,0.011618,0.010657,0.824675,-0.801651,0.033137,-0.808110,-0.855600,0.171365,-0.847677,-0.837285,0.127001,-0.828984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
