Format Version,1.23,Take Name,FloorBottom_240610_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 12.17.55.129 PM,Capture Start Frame,1039418,Total Frames in Take,2308,Total Exported Frames,2308,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1487,Unlabeled 1487,Unlabeled 1487,Unlabeled 1488,Unlabeled 1488,Unlabeled 1488,Unlabeled 1490,Unlabeled 1490,Unlabeled 1490,Unlabeled 1491,Unlabeled 1491,Unlabeled 1491,Unlabeled 1492,Unlabeled 1492,Unlabeled 1492,Unlabeled 1493,Unlabeled 1493,Unlabeled 1493,Unlabeled 1494,Unlabeled 1494,Unlabeled 1494,Unlabeled 1495,Unlabeled 1495,Unlabeled 1495,Unlabeled 1497,Unlabeled 1497,Unlabeled 1497,Unlabeled 1498,Unlabeled 1498,Unlabeled 1498,Unlabeled 1499,Unlabeled 1499,Unlabeled 1499,Unlabeled 1500,Unlabeled 1500,Unlabeled 1500,Unlabeled 1501,Unlabeled 1501,Unlabeled 1501,Unlabeled 1502,Unlabeled 1502,Unlabeled 1502
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","CE690","CE690","CE690","CE410","CE410","CE410","CE610","CE610","CE610","CE6B0","CE6B0","CE6B0","CE6F0","CE6F0","CE6F0","CE740","CE740","CE740","CE720","CE720","CE720","CE780","CE780","CE780","CE750","CE750","CE750","CE760","CE760","CE760","CE770","CE770","CE770","CE7D0","CE7D0","CE7D0","CE7C0","CE7C0","CE7C0","CE7B0","CE7B0","CE7B0","CE7A0","CE7A0","CE7A0","CE7E0","CE7E0","CE7E0","CE7F0","CE7F0","CE7F0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-40.024979,17.707184,83.038063,-1.065993,0.349403,-0.893127,0.000731,-0.050755,-0.056242,-0.037863,0.973292,0.042138,0.044624,0.027206,0.812923,0.008617,0.011618,0.010657,0.830647,-1.030242,0.272599,-0.895552,-1.095561,0.410440,-0.894653,-1.072340,0.365087,-0.889173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-40.643070,18.555334,83.798012,-1.065972,0.352696,-0.892621,0.000711,-0.050755,-0.056242,-0.037863,0.973292,0.042138,0.044624,0.027206,0.812923,0.008617,0.011618,0.010657,0.830647,-1.030283,0.275821,-0.895230,-1.095612,0.413731,-0.893981,-1.072210,0.368439,-0.888646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-39.860142,17.766298,83.288261,-1.065830,0.356233,-0.892155,0.000690,-0.050755,-0.056242,-0.037863,0.959363,0.042138,0.044624,0.027206,0.803935,0.008617,0.011618,0.010657,0.831780,-1.029862,0.279579,-0.895016,-1.095572,0.417222,-0.893303,-1.072216,0.371819,-0.888143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-40.586658,18.744595,84.177658,-1.065960,0.359752,-0.891619,0.000681,-0.050755,-0.056242,-0.037863,0.987962,0.042138,0.044624,0.027206,0.807135,0.008617,0.011618,0.010657,0.821026,-1.030061,0.282995,-0.894692,-1.095735,0.420694,-0.892567,-1.072270,0.375474,-0.887593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-41.283306,19.721951,85.036507,-1.066114,0.363483,-0.891067,0.000704,-0.050755,-0.056242,-0.037863,0.965881,0.042138,0.044624,0.027206,0.813877,0.008617,0.011618,0.010657,0.844259,-1.030318,0.286701,-0.894382,-1.095918,0.424440,-0.891802,-1.072284,0.379222,-0.887012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-40.948612,19.521441,85.008774,-1.066098,0.367452,-0.890548,0.000687,-0.050755,-0.056242,-0.037863,0.969743,0.042138,0.044624,0.027206,0.805320,0.008617,0.011618,0.010657,0.834138,-1.030131,0.290820,-0.894192,-1.096037,0.428313,-0.891024,-1.072287,0.383147,-0.886422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
