Format Version,1.23,Take Name,Soap_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 12.18.25.921 PM,Capture Start Frame,529838,Total Frames in Take,3110,Total Exported Frames,3110,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062
,ID,"C4D20","C4D20","C4D20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,0.061259,0.504739,-0.772508
1,0.008333,0.061313,0.505048,-0.773107
2,0.016667,0.061777,0.505117,-0.773425
3,0.025000,0.061541,0.505718,-0.774290
4,0.033333,0.061644,0.506114,-0.774688
5,0.041667,0.061882,0.506258,-0.775350
6,0.050000,0.061986,0.506664,-0.775777
7,0.058333,0.062139,0.507020,-0.776328
8,0.066667,0.062342,0.507213,-0.776852
9,0.075000,0.062814,0.507243,-0.777036
10,0.083333,0.062741,0.507794,-0.777844
11,0.091667,0.063282,0.507620,-0.778115
12,0.100000,0.063442,0.507716,-0.778616
13,0.108333,0.063130,0.508404,-0.779270
14,0.116667,0.063561,0.508228,-0.779437
15,0.125000,0.063635,0.508339,-0.779824
16,0.133333,0.063659,0.508454,-0.780029
17,0.141667,0.063675,0.508454,-0.780324
18,0.150000,0.063696,0.508466,-0.780493
19,0.158333,0.063099,0.509165,-0.780706
20,0.166667,0.063066,0.509163,-0.780752
21,0.175000,0.063036,0.509086,-0.780751
22,0.183333,0.063037,0.509100,-0.780730
23,0.191667,0.063387,0.508705,-0.780530
24,0.200000,0.063098,0.509175,-0.780871
25,0.208333,0.063088,0.509195,-0.780943
26,0.216667,0.063088,0.509228,-0.781051
27,0.225000,0.063107,0.509240,-0.781176
28,0.233333,0.063104,0.509246,-0.781164
29,0.241667,0.063100,0.509213,-0.781080
30,0.250000,0.063093,0.509179,-0.781031
31,0.258333,0.063115,0.509114,-0.781037
32,0.266667,0.063121,0.509082,-0.780996
33,0.275000,0.063140,0.508914,-0.780886
34,0.283333,0.063689,0.508277,-0.780565
35,0.291667,0.063683,0.508240,-0.780429
36,0.300000,0.063683,0.508273,-0.780197
37,0.308333,0.063682,0.508223,-0.780087
38,0.316667,0.063698,0.508181,-0.780010
39,0.325000,0.063737,0.508137,-0.779973
40,0.333333,0.063767,0.508112,-0.779946
41,0.341667,0.063786,0.508110,-0.779930
42,0.350000,0.063793,0.508104,-0.779932
43,0.358333,0.063771,0.508105,-0.779947
44,0.366667,0.063764,0.508113,-0.779945
45,0.375000,0.063773,0.508105,-0.779948
46,0.383333,0.063775,0.508104,-0.779948
47,0.391667,0.063767,0.508103,-0.779940
48,0.400000,0.063754,0.508114,-0.779939
49,0.408333,0.063755,0.508102,-0.779945
50,0.416667,0.063749,0.508108,-0.779935
51,0.425000,0.063748,0.508113,-0.779933
52,0.433333,0.063757,0.508109,-0.779930
53,0.441667,0.063747,0.508108,-0.779925
54,0.450000,0.063752,0.508102,-0.779930
55,0.458333,0.063754,0.508102,-0.779931
56,0.466667,0.063754,0.508110,-0.779940
57,0.475000,0.063753,0.508102,-0.779945
58,0.483333,0.063758,0.508099,-0.779945
59,0.491667,0.063757,0.508098,-0.779944
60,0.500000,0.063759,0.508105,-0.779940
61,0.508333,0.063758,0.508106,-0.779940
62,0.516667,0.063755,0.508103,-0.779938
63,0.525000,0.063755,0.508100,-0.779931
64,0.533333,0.063756,0.508098,-0.779921
65,0.541667,0.063750,0.508098,-0.779905
66,0.550000,0.063751,0.508097,-0.779901
67,0.558333,0.063745,0.508103,-0.779898
68,0.566667,0.063743,0.508102,-0.779896
69,0.575000,0.063748,0.508095,-0.779890
70,0.583333,0.063745,0.508090,-0.779883
71,0.591667,0.063742,0.508094,-0.779873
72,0.600000,0.063736,0.508095,-0.779867
73,0.608333,0.063744,0.508093,-0.779857
74,0.616667,0.063734,0.508088,-0.779844
75,0.625000,0.063735,0.508090,-0.779828
76,0.633333,0.063723,0.508094,-0.779810
77,0.641667,0.063725,0.508094,-0.779808
78,0.650000,0.063724,0.508095,-0.779810
79,0.658333,0.063730,0.508094,-0.779815
80,0.666667,0.063725,0.508101,-0.779820
