Format Version,1.23,Take Name,TrackFloor_240610_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 10.13.19.795 AM,Capture Start Frame,142326,Total Frames in Take,1954,Total Exported Frames,1954,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1254,Unlabeled 1254,Unlabeled 1254,Unlabeled 1256,Unlabeled 1256,Unlabeled 1256
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C4C80","C4C80","C4C80","C4C90","C4C90","C4C90","C4C60","C4C60","C4C60","C4CC0","C4CC0","C4CC0","C4CE0","C4CE0","C4CE0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-54.896145,15.574100,74.488029,-0.685192,0.104347,-0.752984,0.000599,-0.050755,-0.056242,-0.037863,0.765403,0.042138,0.044624,0.027206,0.504573,0.008617,0.011618,0.010657,0.667608,-0.656738,0.028061,-0.727673,-0.707286,0.164549,-0.776258,-0.691724,0.120222,-0.754980,,,,,,
1,0.008333,-54.776600,15.393486,74.353554,-0.685181,0.104352,-0.752985,0.000601,-0.050755,-0.056242,-0.037863,0.765793,0.042138,0.044624,0.027206,0.502930,0.008617,0.011618,0.010657,0.665670,-0.656721,0.028067,-0.727678,-0.707261,0.164564,-0.776259,-0.691730,0.120216,-0.754979,,,,,,
2,0.016667,-54.736477,15.330871,74.306938,-0.685190,0.104347,-0.752974,0.000600,-0.050755,-0.056242,-0.037863,0.765793,0.042138,0.044624,0.027206,0.502930,0.008617,0.011618,0.010657,0.665670,-0.656734,0.028058,-0.727667,-0.707270,0.164559,-0.776252,-0.691739,0.120214,-0.754963,,,,,,
3,0.025000,-54.789604,15.414111,74.372124,-0.685202,0.104344,-0.752981,0.000599,-0.050755,-0.056242,-0.037863,0.767144,0.042138,0.044624,0.027206,0.504480,0.008617,0.011618,0.010657,0.666003,-0.656737,0.028064,-0.727678,-0.707291,0.164551,-0.776253,-0.691751,0.120210,-0.754972,,,,,,
4,0.033333,-54.760593,15.371908,74.325211,-0.685187,0.104356,-0.752980,0.000600,-0.050755,-0.056242,-0.037863,0.767144,0.042138,0.044624,0.027206,0.504480,0.008617,0.011618,0.010657,0.666003,-0.656744,0.028065,-0.727666,-0.707260,0.164565,-0.776258,-0.691730,0.120230,-0.754977,,,,,,
5,0.041667,-54.809238,15.446465,74.390488,-0.685184,0.104352,-0.752981,0.000598,-0.050755,-0.056242,-0.037863,0.765543,0.042138,0.044624,0.027206,0.504763,0.008617,0.011618,0.010657,0.667359,-0.656729,0.028065,-0.727674,-0.707269,0.164558,-0.776253,-0.691727,0.120224,-0.754978,,,,,,
6,0.050000,-54.715366,15.302965,74.283440,-0.685199,0.104344,-0.752985,0.000598,-0.050755,-0.056242,-0.037863,0.765543,0.042138,0.044624,0.027206,0.504763,0.008617,0.011618,0.010657,0.667359,-0.656742,0.028059,-0.727681,-0.707280,0.164551,-0.776259,-0.691748,0.120215,-0.754975,,,,,,
7,0.058333,-54.729698,15.320488,74.296303,-0.685191,0.104345,-0.752985,0.000597,-0.050755,-0.056242,-0.037863,0.764098,0.042138,0.044624,0.027206,0.506538,0.008617,0.011618,0.010657,0.670564,-0.656738,0.028056,-0.727676,-0.707274,0.164548,-0.776262,-0.691733,0.120223,-0.754978,,,,,,
8,0.066667,-54.865475,15.520546,74.455711,-0.685200,0.104337,-0.752983,0.000601,-0.050755,-0.056242,-0.037863,0.764098,0.042138,0.044624,0.027206,0.506538,0.008617,0.011618,0.010657,0.670564,-0.656735,0.028056,-0.727673,-0.707296,0.164543,-0.776260,-0.691741,0.120204,-0.754975,,,,,,
9,0.075000,-54.730240,15.304712,74.294128,-0.685207,0.104332,-0.752984,0.000600,-0.050755,-0.056242,-0.037863,0.766220,0.042138,0.044624,0.027206,0.504065,0.008617,0.011618,0.010657,0.666644,-0.656738,0.028056,-0.727668,-0.707292,0.164537,-0.776266,-0.691762,0.120197,-0.754979,,,,,,
10,0.083333,-54.788319,15.398469,74.363762,-0.685200,0.104341,-0.752989,0.000597,-0.050755,-0.056242,-0.037863,0.766220,0.042138,0.044624,0.027206,0.504065,0.008617,0.011618,0.010657,0.666644,-0.656729,0.028067,-0.727677,-0.707295,0.164538,-0.776266,-0.691744,0.120213,-0.754985,,,,,,
11,0.091667,-54.814873,15.438859,74.390793,-0.685199,0.104337,-0.752991,0.000597,-0.050755,-0.056242,-0.037863,0.763620,0.042138,0.044624,0.027206,0.506269,0.008617,0.011618,0.010657,0.671155,-0.656742,0.028050,-0.727674,-0.707293,0.164534,-0.776270,-0.691733,0.120220,-0.754991,,,,,,
12,0.100000,-54.867817,15.518721,74.457069,-0.685215,0.104336,-0.752991,0.000599,-0.050755,-0.056242,-0.037863,0.763620,0.042138,0.044624,0.027206,0.506269,0.008617,0.011618,0.010657,0.671155,-0.656752,0.028048,-0.727675,-0.707314,0.164535,-0.776264,-0.691753,0.120213,-0.754993,,,,,,
13,0.108333,-54.725292,15.303736,74.294083,-0.685214,0.104334,-0.752991,0.000597,-0.050755,-0.056242,-0.037863,0.766739,0.042138,0.044624,0.027206,0.505761,0.008617,0.011618,0.010657,0.667001,-0.656744,0.028057,-0.727681,-0.707302,0.164535,-0.776265,-0.691770,0.120200,-0.754987,,,,,,
