Format Version,1.23,Take Name,Soap_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 11.31.32.896 AM,Capture Start Frame,192254,Total Frames in Take,5449,Total Exported Frames,5449,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051
,ID,"C4C90","C4C90","C4C90"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,0.068802,0.509905,-0.783354
1,0.008333,0.069200,0.509561,-0.783143
2,0.016667,0.068798,0.509904,-0.783353
3,0.025000,0.069197,0.509571,-0.783141
4,0.033333,0.068799,0.509898,-0.783355
5,0.041667,0.068799,0.509907,-0.783348
6,0.050000,0.068792,0.509912,-0.783347
7,0.058333,0.068796,0.509903,-0.783350
8,0.066667,0.068796,0.509910,-0.783347
9,0.075000,0.069198,0.509567,-0.783139
10,0.083333,0.068797,0.509905,-0.783350
11,0.091667,0.069201,0.509569,-0.783136
12,0.100000,0.068793,0.509911,-0.783349
13,0.108333,0.068795,0.509910,-0.783344
14,0.116667,0.068793,0.509913,-0.783344
15,0.125000,0.068796,0.509915,-0.783345
16,0.133333,0.068798,0.509908,-0.783348
17,0.141667,0.068794,0.509909,-0.783344
18,0.150000,0.068795,0.509911,-0.783346
19,0.158333,0.068793,0.509913,-0.783345
20,0.166667,0.069201,0.509564,-0.783136
21,0.175000,0.068793,0.509910,-0.783344
22,0.183333,0.068801,0.509902,-0.783351
23,0.191667,0.068796,0.509911,-0.783349
24,0.200000,0.068798,0.509907,-0.783352
25,0.208333,0.068796,0.509909,-0.783348
26,0.216667,0.068797,0.509903,-0.783349
27,0.225000,0.069200,0.509568,-0.783142
28,0.233333,0.068798,0.509904,-0.783354
29,0.241667,0.068800,0.509905,-0.783357
30,0.250000,0.069205,0.509560,-0.783140
31,0.258333,0.068803,0.509902,-0.783359
32,0.266667,0.069202,0.509566,-0.783144
33,0.275000,0.068797,0.509909,-0.783349
34,0.283333,0.068798,0.509904,-0.783350
35,0.291667,0.068795,0.509908,-0.783352
36,0.300000,0.069203,0.509560,-0.783147
37,0.308333,0.069200,0.509572,-0.783140
38,0.316667,0.068801,0.509900,-0.783355
39,0.325000,0.068801,0.509902,-0.783357
40,0.333333,0.068799,0.509904,-0.783354
41,0.341667,0.068797,0.509907,-0.783355
42,0.350000,0.069204,0.509563,-0.783144
43,0.358333,0.068798,0.509902,-0.783357
44,0.366667,0.068797,0.509911,-0.783352
45,0.375000,0.068799,0.509904,-0.783358
46,0.383333,0.068800,0.509902,-0.783355
47,0.391667,0.068802,0.509902,-0.783359
48,0.400000,0.068802,0.509900,-0.783363
49,0.408333,0.069205,0.509559,-0.783152
50,0.416667,0.068803,0.509895,-0.783363
51,0.425000,0.068797,0.509905,-0.783360
52,0.433333,0.068802,0.509898,-0.783360
53,0.441667,0.069201,0.509563,-0.783149
54,0.450000,0.069193,0.509570,-0.783147
55,0.458333,0.068800,0.509904,-0.783358
56,0.466667,0.068802,0.509901,-0.783364
57,0.475000,0.068794,0.509905,-0.783358
58,0.483333,0.069198,0.509564,-0.783146
59,0.491667,0.068801,0.509902,-0.783363
60,0.500000,0.068796,0.509902,-0.783358
61,0.508333,0.069200,0.509559,-0.783149
62,0.516667,0.068797,0.509900,-0.783358
63,0.525000,0.068801,0.509894,-0.783362
64,0.533333,0.068796,0.509900,-0.783355
65,0.541667,0.068793,0.509906,-0.783353
66,0.550000,0.068797,0.509899,-0.783351
67,0.558333,0.068795,0.509899,-0.783354
68,0.566667,0.069201,0.509559,-0.783142
69,0.575000,0.068793,0.509902,-0.783353
70,0.583333,0.069201,0.509557,-0.783152
71,0.591667,0.068792,0.509902,-0.783358
72,0.600000,0.069202,0.509560,-0.783149
73,0.608333,0.068797,0.509899,-0.783363
74,0.616667,0.069199,0.509560,-0.783146
75,0.625000,0.068792,0.509904,-0.783356
76,0.633333,0.068790,0.509904,-0.783358
77,0.641667,0.068793,0.509904,-0.783357
78,0.650000,0.068796,0.509902,-0.783359
79,0.658333,0.068800,0.509894,-0.783365
80,0.666667,0.069198,0.509560,-0.783154
81,0.675000,0.068796,0.509902,-0.783358
82,0.683333,0.069198,0.509555,-0.783152
83,0.691667,0.069193,0.509559,-0.783144
84,0.700000,0.069187,0.509570,-0.783142
85,0.708333,0.069193,0.509560,-0.783146
86,0.716667,0.068787,0.509904,-0.783354
87,0.725000,0.068790,0.509901,-0.783354
88,0.733333,0.068785,0.509907,-0.783353
89,0.741667,0.069195,0.509558,-0.783147
90,0.750000,0.069199,0.509557,-0.783148
91,0.758333,0.069194,0.509553,-0.783153
92,0.766667,0.069197,0.509554,-0.783152
93,0.775000,0.069197,0.509559,-0.783156
94,0.783333,0.069195,0.509562,-0.783155
95,0.791667,0.068801,0.509898,-0.783380
96,0.800000,0.068807,0.509897,-0.783386
97,0.808333,0.069221,0.509548,-0.783192
98,0.816667,0.068822,0.509868,-0.783388
99,0.825000,0.068814,0.509868,-0.783322
100,0.833333,0.068786,0.509863,-0.783256
101,0.841667,0.068773,0.509830,-0.783245
102,0.850000,0.068762,0.509826,-0.783078
103,0.858333,0.068763,0.509722,-0.782839
104,0.866667,0.068760,0.509617,-0.782601
105,0.875000,0.068773,0.509435,-0.782307
106,0.883333,0.069184,0.508879,-0.781679
107,0.891667,0.068740,0.509064,-0.781505
108,0.900000,0.068721,0.508951,-0.781000
109,0.908333,0.068791,0.508629,-0.780593
110,0.916667,0.068744,0.508344,-0.779986
111,0.925000,0.068756,0.508066,-0.779420
112,0.933333,0.068785,0.507616,-0.778804
113,0.941667,0.069352,0.506922,-0.777965
114,0.950000,0.069316,0.506638,-0.777182
115,0.958333,0.068911,0.506545,-0.776633
116,0.966667,0.068866,0.506127,-0.775834
117,0.975000,0.068854,0.505729,-0.774960
118,0.983333,0.068863,0.505217,-0.774039
119,0.991667,0.068833,0.504792,-0.772999
120,1.000000,0.068760,0.504283,-0.771872
121,1.008333,0.068801,0.503679,-0.770766
122,1.016667,0.068927,0.503045,-0.769694
123,1.025000,0.068925,0.502407,-0.768452
124,1.033333,0.068893,0.501834,-0.767124
125,1.041667,0.068869,0.501141,-0.765837
126,1.050000,0.068828,0.500472,-0.764426
127,1.058333,0.068816,0.499883,-0.763104
128,1.066667,0.068903,0.499109,-0.761723
129,1.075000,0.068924,0.498320,-0.760363
130,1.083333,0.068891,0.497650,-0.758796
131,1.091667,0.068827,0.496881,-0.757345
132,1.100000,0.068797,0.496141,-0.755729
133,1.108333,0.068787,0.495368,-0.754051
134,1.116667,0.068896,0.494385,-0.752406
135,1.125000,0.068902,0.493531,-0.750739
136,1.133333,0.068828,0.492696,-0.748955
137,1.141667,0.068743,0.491780,-0.747108
138,1.150000,0.068694,0.490940,-0.745264
139,1.158333,0.068875,0.489893,-0.743487
140,1.166667,0.068834,0.488941,-0.741570
141,1.175000,0.068797,0.488096,-0.739591
142,1.183333,0.068724,0.487090,-0.737598
143,1.191667,0.068793,0.486090,-0.735580
144,1.200000,0.068860,0.485038,-0.733518
145,1.208333,0.068824,0.483969,-0.731361
146,1.216667,0.068812,0.482952,-0.729225
147,1.225000,0.068929,0.481760,-0.727038
