Format Version,1.23,Take Name,TrackFloor_240610_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 10.06.16.274 AM,Capture Start Frame,91500,Total Frames in Take,2057,Total Exported Frames,2057,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C40A0","C40A0","C40A0","C4070","C4070","C4070","C4090","C4090","C4090","C4030","C4030","C4030","C40B0","C40B0","C40B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,10.847440,11.739085,9.231583,-0.686022,0.405170,-0.742224,0.000388,-0.050755,-0.056242,-0.037863,0.849883,0.042138,0.044624,0.027206,0.927646,0.008617,0.011618,0.010657,0.828786,-0.733506,0.348353,-0.782119,-0.646822,0.451355,-0.713098,-0.677692,0.415840,-0.731427,,,,,,
1,0.008333,10.856140,11.759172,9.240097,-0.686030,0.405167,-0.742226,0.000384,-0.050755,-0.056242,-0.037863,0.849883,0.042138,0.044624,0.027206,0.927646,0.008617,0.011618,0.010657,0.828786,-0.733516,0.348346,-0.782118,-0.646840,0.451351,-0.713110,-0.677690,0.415842,-0.731421,,,,,,
2,0.016667,10.854530,11.759303,9.239104,-0.686025,0.405168,-0.742228,0.000383,-0.050755,-0.056242,-0.037863,0.850487,0.042138,0.044624,0.027206,0.928613,0.008617,0.011618,0.010657,0.832289,-0.733513,0.348346,-0.782118,-0.646825,0.451356,-0.713109,-0.677691,0.415840,-0.731427,,,,,,
3,0.025000,10.864444,11.770700,9.246305,-0.686018,0.405174,-0.742225,0.000386,-0.050755,-0.056242,-0.037863,0.850913,0.042138,0.044624,0.027206,0.928159,0.008617,0.011618,0.010657,0.830387,-0.733486,0.348365,-0.782111,-0.646832,0.451356,-0.713106,-0.677689,0.415841,-0.731426,,,,,,
4,0.033333,10.846057,11.743893,9.231866,-0.686027,0.405169,-0.742231,0.000385,-0.050755,-0.056242,-0.037863,0.845293,0.042138,0.044624,0.027206,0.927953,0.008617,0.011618,0.010657,0.828668,-0.733506,0.348353,-0.782120,-0.646832,0.451350,-0.713112,-0.677692,0.415842,-0.731429,,,,,,
5,0.041667,10.769141,11.630707,9.184141,-0.686025,0.405170,-0.742227,0.000384,-0.050755,-0.056242,-0.037863,0.848267,0.042138,0.044624,0.027206,0.928131,0.008617,0.011618,0.010657,0.830684,-0.733498,0.348356,-0.782117,-0.646821,0.451356,-0.713113,-0.677702,0.415836,-0.731421,,,,,,
