Format Version,1.23,Take Name,TrackFloor_240610_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 10.12.18.648 AM,Capture Start Frame,134988,Total Frames in Take,2490,Total Exported Frames,2490,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1241,Unlabeled 1241,Unlabeled 1241,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C4910","C4910","C4910","C4930","C4930","C4930","C4900","C4900","C4900","C4830","C4830","C4830","C4960","C4960","C4960","C4990","C4990","C4990","C49A0","C49A0","C49A0","C49D0","C49D0","C49D0","C49C0","C49C0","C49C0","C4A00","C4A00","C4A00","C49F0","C49F0","C49F0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-54.873592,15.699079,75.576775,-0.725511,0.104002,-0.776180,0.000654,-0.050755,-0.056242,-0.037863,0.726177,0.042138,0.044624,0.027206,0.480431,0.008617,0.011618,0.010657,0.672140,-0.696091,0.027704,-0.751766,-0.748477,0.164225,-0.798812,-0.732179,0.119833,-0.777920,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-54.812534,15.620638,75.507027,-0.725507,0.104011,-0.776175,0.000652,-0.050755,-0.056242,-0.037863,0.724084,0.042138,0.044624,0.027206,0.482107,0.008617,0.011618,0.010657,0.677072,-0.696099,0.027702,-0.751763,-0.748462,0.164234,-0.798802,-0.732168,0.119857,-0.777918,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-54.690128,15.440118,75.371140,-0.725507,0.104016,-0.776173,0.000657,-0.050755,-0.056242,-0.037863,0.724084,0.042138,0.044624,0.027206,0.482107,0.008617,0.011618,0.010657,0.677072,-0.696108,0.027690,-0.751758,-0.748443,0.164255,-0.798800,-0.732185,0.119857,-0.777918,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-54.884884,15.750685,75.588127,-0.725479,0.104025,-0.776165,0.000653,-0.050755,-0.056242,-0.037863,0.728790,0.042138,0.044624,0.027206,0.481328,0.008617,0.011618,0.010657,0.671646,-0.696083,0.027721,-0.751763,-0.748423,0.164257,-0.798789,-0.732139,0.119859,-0.777904,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-54.751263,15.536640,75.448631,-0.725507,0.104017,-0.776173,0.000651,-0.050755,-0.056242,-0.037863,0.728790,0.042138,0.044624,0.027206,0.481328,0.008617,0.011618,0.010657,0.671646,-0.696086,0.027714,-0.751770,-0.748460,0.164241,-0.798788,-0.732184,0.119855,-0.777919,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-54.589886,15.303123,75.265152,-0.725507,0.104015,-0.776169,0.000649,-0.050755,-0.056242,-0.037863,0.723123,0.042138,0.044624,0.027206,0.485100,0.008617,0.011618,0.010657,0.680877,-0.696096,0.027703,-0.751768,-0.748450,0.164238,-0.798787,-0.732183,0.119865,-0.777910,,,,,,,,,,,,,,,,,,,,,,,,
